timestep,state_id,entropy_H,coherence_k,emergence_eta,bifurcation_B,reducibility_score,perturbation,response,attractor_state,ligand_concentration,receptor_affinity,delta_G,conformational_state,thermal_noise
t1,Unbound,0.9900990099009901,0.009900990099009901,0.008415841584158416,0.01980198019801982,0.98,Concentration_Ramp,Conformational_Shift,Free_Receptor,1e-06,0.0001,11415.383567895935,0.009405940594059406,-0.058505651302967976
t2,Unbound,0.8238063214525891,0.1761936785474109,0.14976462676529925,0.3523873570948217,0.98,Concentration_Ramp,Conformational_Shift,Free_Receptor,2.1387755102040818e-05,0.0001,3823.2106410429383,0.16738399462004033,-0.09009902187900098
t3,Unbound,0.7053404347200231,0.29465956527997694,0.2504606304879804,0.5893191305599539,0.98,Concentration_Ramp,Conformational_Shift,Free_Receptor,4.177551020408163e-05,0.0001,2163.6617819370917,0.27992658701597806,0.027073136410239403
t4,Unbound,0.616662471683866,0.38333752831613394,0.3258368990687138,0.7666750566322679,0.98,Concentration_Ramp,Conformational_Shift,Free_Receptor,6.216326530612246e-05,0.0001,1178.445346721445,0.3641706519003272,0.03795775801513235
t5,Unbound,0.5477920626048072,0.4522079373951929,0.38437674678591394,0.9044158747903858,0.98,Concentration_Ramp,Conformational_Shift,Free_Receptor,8.255102040816327e-05,0.0001,475.32261852969566,0.4295975405254332,-0.028825520036335973
t6,Unbound,0.4927594529364441,0.5072405470635559,0.43115446500402255,0.9855189058728882,0.98,Concentration_Ramp,Conformational_Shift,Free_Receptor,0.00010293877551020408,0.0001,-71.7970467744452,0.4818785197103781,-0.1295521146072455
t7,Unbound,0.4477748332267203,0.5522251667732797,0.4693913917572877,0.8955496664534406,0.98,Concentration_Ramp,Conformational_Shift,Free_Receptor,0.00012332653061224492,0.0001,-519.7225313837038,0.5246139084346157,-0.02731222241262414
t8,Unbound,0.4103165298944901,0.5896834701055099,0.5012309495896834,0.8206330597889802,0.98,Concentration_Ramp,Conformational_Shift,Free_Receptor,0.00014371428571428573,0.0001,-898.9611387834575,0.5601992966002344,0.019590200270127325
t9,Unbound,0.3786415269299127,0.6213584730700873,0.5281547021095742,0.7572830538598254,0.98,Concentration_Ramp,Conformational_Shift,Free_Receptor,0.00016410204081632654,0.0001,-1227.8043363455304,0.5902905494165829,-0.07394557843870644
t10,Unbound,0.35150645624103305,0.648493543758967,0.5512195121951219,0.7030129124820661,0.98,Concentration_Ramp,Conformational_Shift,Free_Receptor,0.00018448979591836735,0.0001,-1518.0882337112864,0.6160688665710186,0.009167995988957782
t11,Unbound,0.32800053551107844,0.6719994644889216,0.5711995448155833,0.6560010710221569,0.98,Concentration_Ramp,Conformational_Shift,Free_Receptor,0.00020487755102040816,0.0001,-1777.9139202049362,0.6383994912644755,-0.0007654924586497779
t12,Unbound,0.30744133517379846,0.6925586648262015,0.5886748651022713,0.6148826703475969,0.98,Concentration_Ramp,Conformational_Shift,Free_Receptor,0.000225265306122449,0.0001,-2013.07045853773,0.6579307315848915,0.02896457498005442
t13,Unbound,0.28930743342976906,0.7106925665702309,0.6040886815846963,0.5786148668595381,0.98,Concentration_Ramp,Conformational_Shift,Free_Receptor,0.00024565306122448986,0.0001,-2227.838752110513,0.6751579382417193,0.005979018420707663
t14,Unbound,0.273193577163247,0.726806422836753,0.6177854594112401,0.546387154326494,0.98,Concentration_Ramp,Conformational_Shift,Free_Receptor,0.00026604081632653067,0.0001,-2425.4738129538914,0.6904661016949153,-0.04865344704407778
t15,Unbound,0.25878003696857665,0.7412199630314233,0.6300369685767099,0.5175600739371533,0.98,Concentration_Ramp,Conformational_Shift,Free_Receptor,0.0002864285714285715,0.0001,-2608.508449001993,0.7041589648798522,0.05982857508322457
t16,Transitioning,0.24581117688371623,0.7541888231162838,0.6410604996488412,0.49162235376743246,0.98,Concentration_Ramp,Conformational_Shift,Midpoint_State,0.0003068163265306123,0.0001,-2778.952280645481,0.7164793819604696,-0.007926478651348502
t17,Transitioning,0.23408016051211,0.76591983948789,0.6510318635647064,0.46816032102422,0.98,Concentration_Ramp,Conformational_Shift,Midpoint_State,0.0003272040816326531,0.0001,-2938.426600354722,0.7276238475134955,-0.001365226975496593
t18,Transitioning,0.2234178369505745,0.7765821630494255,0.6600948385920117,0.446835673901149,0.98,Concentration_Ramp,Conformational_Shift,Midpoint_State,0.0003475918367346939,0.0001,-3088.258397884772,0.7377530548969542,-0.046663397953659806
t19,Transitioning,0.21368453185643888,0.7863154681435611,0.6683681479220269,0.42736906371287775,0.98,Concentration_Ramp,Conformational_Shift,Midpoint_State,0.0003679795918367347,0.0001,-3229.547544816098,0.7469996947363831,-0.022164112559575518
t20,Transitioning,0.20476389469285416,0.7952361053071458,0.675950689511074,0.40952778938570833,0.98,Concentration_Ramp,Conformational_Shift,Midpoint_State,0.00038836734693877554,0.0001,-3363.2158383478954,0.7554743000417885,-0.04424013570134505
t21,Transitioning,0.19655822536002254,0.8034417746399775,0.6829255084439808,0.3931164507200451,0.98,Concentration_Ramp,Conformational_Shift,Midpoint_State,0.00040875510204081635,0.0001,-3490.043482295772,0.7632696859079785,-0.00864730299617115
t22,Transitioning,0.1889848812095033,0.8110151187904967,0.6893628509719222,0.3779697624190066,0.98,Concentration_Ramp,Conformational_Shift,Midpoint_State,0.0004291428571428572,0.0001,-3610.696679444798,0.7704643628509719,0.08558542400711718
t23,Transitioning,0.18197348386377976,0.8180265161362202,0.6953225387157872,0.3639469677275595,0.98,Concentration_Ramp,Conformational_Shift,Midpoint_State,0.000449530612244898,0.0001,-3725.7488138181093,0.7771251903294092,-0.06859505714656781
t24,Transitioning,0.17546372556040968,0.8245362744395903,0.7008558332736518,0.35092745112081936,0.98,Concentration_Ramp,Conformational_Shift,Midpoint_State,0.00046991836734693883,0.0001,-3835.696930779686,0.7833094607176108,-0.08067806989383706
t25,Transitioning,0.16940363007778736,0.8305963699222126,0.7060069144338808,0.3388072601555747,0.98,Concentration_Ramp,Conformational_Shift,Midpoint_State,0.0004903061224489797,0.0001,-3940.9747144817406,0.7890665514261019,0.07355851637468043
t26,Transitioning,0.1637481620104264,0.8362518379895736,0.7108140622911375,0.3274963240208528,0.98,Concentration_Ramp,Conformational_Shift,Midpoint_State,0.0005106938775510205,0.0001,-4041.9628196882013,0.7944392460900949,-0.010466183857593306
t27,Transitioning,0.1584581056171782,0.8415418943828218,0.7153106102253985,0.3169162112343564,0.98,Concentration_Ramp,Conformational_Shift,Midpoint_State,0.0005310816326530613,0.0001,-4138.997179913048,0.7994647996636807,-0.03345363693299583
