timestep,state_id,entropy_H,coherence_k,emergence_eta,bifurcation_B,reducibility_score,perturbation,response,attractor_state,KRAS_activation,TP53_loss,oxygen_level,glucose_flux,immune_pressure,therapy_dose,clone_entropy,resistance_score
t1,Stable,0.13739116045664954,0.9117100498907793,0.8626088395433504,0.0,0.95,None,Homeostasis,Basal_Homeostasis,0.009934283060224654,0.0064816793878959,93.58462925794959,5.200394280276702,80.53668104052242,0.0,1.0991292836531963,0.3109075655980046
t2,Stable,0.15917861947054776,0.9143981895980303,0.8408213805294522,0.0,0.95,None,Homeostasis,Basal_Homeostasis,0.0,0.0,94.57935467723465,5.2771585675975805,80.84117678955235,0.0,1.273428955764382,1.475356216949552
t3,Stable,0.17122156197012633,0.9274729360512327,0.8287784380298737,0.0,0.95,None,Homeostasis,Basal_Homeostasis,0.01295377076201385,0.0,94.65728548347323,4.455980222737208,81.62457686476291,0.0,1.3697724957610107,0.8576596232020194
t4,Stable,0.16032465260551146,0.9261037026543347,0.8396753473944886,0.0,0.95,None,Homeostasis,Basal_Homeostasis,0.03046059712816051,0.012233525776817357,94.19772273077838,5.185802957728803,81.58070307805235,0.0,1.2825972208440917,0.0
t5,Stable,0.13480630034045987,0.9197909840603585,0.8651936996595402,0.0,0.95,None,Homeostasis,Basal_Homeostasis,0.0,0.02061999044991902,94.83871428833399,5.234457978638945,77.93349594806436,0.0,1.078450402723679,0.0
t6,Stable,0.14515765927133747,0.9211732738330879,0.8548423407286625,0.0,0.95,None,Homeostasis,Basal_Homeostasis,0.0,0.018625602382323973,95.40405085681454,4.428518865578906,78.59326244012732,0.0,1.1612612741706998,0.0
t7,Stable,0.16266911149186622,0.9327766489578843,0.8373308885081338,0.0,0.95,None,Homeostasis,Basal_Homeostasis,0.03158425631014783,0.0,96.88618590121052,6.492619608915805,80.772552900813,0.0,1.3013528919349298,0.0
t8,Stable,0.14292330534381217,0.9140842861116417,0.8570766946561879,0.0,0.95,None,Homeostasis,Basal_Homeostasis,0.015348694583058176,0.0,95.17457781283184,5.37906633672943,80.77067892636832,0.0,1.1433864427504974,0.0
t9,Stable,0.15443819428146227,0.9254709738117004,0.8455618057185377,0.0,0.95,None,Homeostasis,Basal_Homeostasis,0.0,0.006625268628071279,95.25755039072277,4.046957202237881,80.77257152945907,0.0,1.2355055542516982,0.3227185603380895
t10,Stable,0.15774634053429337,0.9179780734756611,0.8422536594657066,0.0,0.95,None,Homeostasis,Basal_Homeostasis,0.010851200871719294,0.019510902542447184,94.92555408423384,5.525242886907064,85.77909723598208,0.0,1.261970724274347,0.0
t11,Mutation,0.14073069528421916,0.9178231879677279,0.8592693047157809,0.0,0.95,None,Clonal_Expansion,Basal_Homeostasis,0.0,0.0,93.08122878470095,4.220254663818142,80.85633576603975,0.0,1.1258455622737533,0.5193465142411723
t12,Mutation,0.17982141310604866,0.9018211018532053,0.8201785868939513,0.0,0.95,None,Clonal_Expansion,Basal_Homeostasis,0.09068540492859486,0.0,94.97348612455079,7.734930840888698,81.7033484602709,0.0,1.4385713048483892,1.5327389130025777
t13,Mutation,0.17842065993264258,0.869920830156547,0.8215793400673574,0.0,0.95,None,Clonal_Expansion,Basal_Homeostasis,0.2048392454313207,0.0,95.06023020994103,10.137402778995396,81.4310026452398,0.0,1.4273652794611407,0.0
t14,Mutation,0.2310061235866571,0.8406350963600064,0.7689938764133429,0.0,0.95,None,Clonal_Expansion,Basal_Homeostasis,0.2617343951068441,0.0,97.46324211248529,10.659243619002842,80.9770868769587,0.0,1.8480489886932567,0.40171172209894146
t15,Mutation,0.26914098515273505,0.8163881214048766,0.7308590148472649,0.0,0.95,None,Clonal_Expansion,Basal_Homeostasis,0.36550164334973934,0.016250516447883962,94.80763903521888,14.191753534974405,79.52709613303948,0.0,2.1531278812218804,0.6901439917111125
t16,Mutation,0.2896055015136848,0.7743767050829943,0.7103944984863152,0.0,0.95,None,Clonal_Expansion,Basal_Homeostasis,0.48875424941518053,0.02712480057141646,95.3015473423336,15.856540531022882,81.1384538307399,0.0,2.3168440121094784,0.0
t17,Mutation,0.3488241130393164,0.7518195297129496,0.6511758869606836,0.049473684210526316,0.9063157894736842,None,Clonal_Expansion,Basal_Homeostasis,0.5797433775933116,0.06998836899696474,94.96528823029476,18.289227075364014,75.15655165187785,0.0,2.790592904314531,0.22409248181041677
t18,Mutation,0.34861525288706036,0.7127306657673987,0.6513847471129397,0.09894736842105263,0.8626315789473684,None,Clonal_Expansion,Basal_Homeostasis,0.7062849466519056,0.16292780081498334,93.83132196238047,21.254276491386314,72.27635103725841,0.0,2.788922023096483,0.01259240078179486
