timestep,state_id,entropy_H,coherence_k,emergence_eta,bifurcation_B,reducibility_score,perturbation,response,attractor_state,pressure_gradient,sea_surface_temp,wind_shear,humidity_flux,vortex_coherence
t1,Calm,0.1275698861664535,0.11848956094945345,0.11256508290198078,0.0,0.92,None,Equilibrium,Flat_Baric,1011.4055723412056,25.993732090272683,45.46308877376582,60.06927182997832,0.11848956094945345
t2,Calm,0.11077834675822373,0.11126565029547758,0.1057023677807037,0.0,0.92,None,Equilibrium,Flat_Baric,1012.4006249770463,26.095514232050125,45.95470832023506,59.875458211686336,0.11126565029547758
t3,Calm,0.1286960592010566,0.0973111130944517,0.09244555743972911,0.0,0.92,None,Equilibrium,Flat_Baric,1013.0052436997182,25.901427395366447,44.30071621309043,60.93422564932784,0.0973111130944517
t4,Calm,0.1335563785880495,0.0889347409125833,0.08448800386695413,0.0,0.92,None,Equilibrium,Flat_Baric,1013.0469805937647,26.050404651551784,45.28148461834529,60.20353667464097,0.0889347409125833
t5,Calm,0.12413434903223701,0.12573359803249862,0.11944691813087369,0.0,0.92,None,Equilibrium,Flat_Baric,1012.5499345285208,25.946974238162756,44.674678715439086,60.27008212966016,0.12573359803249862
t6,Calm,0.13876795812558065,0.10059218434014489,0.09556257512313764,0.0,0.92,None,Equilibrium,Flat_Baric,1013.6228499323475,25.920712716773764,44.756437308117654,59.670498427102025,0.10059218434014489
t7,Calm,0.11226210800896426,0.10013929291912947,0.095132328273173,0.0,0.92,None,Equilibrium,Flat_Baric,1011.9323795706174,25.989296964004545,44.70380303788057,59.60991502074201,0.10013929291912947
t8,Calm,0.10755345296688583,0.09975874912889997,0.09477081167245496,0.0,0.92,None,Equilibrium,Flat_Baric,1012.8576205149787,25.896475767758062,44.56800461516009,59.6539534497443,0.09975874912889997
t9,Calm,0.10221279751095722,0.10198084760767856,0.09688180522729463,0.0,0.92,None,Equilibrium,Flat_Baric,1013.1202956317119,25.94463506946528,45.02426081397241,60.31556171390264,0.10198084760767856
t10,Calm,0.13496044311489183,0.09855639588076058,0.09362857608672255,0.0,0.92,None,Equilibrium,Flat_Baric,1013.5144388340588,25.880212210741114,44.584524941794484,59.66321241534379,0.09855639588076058
t11,Calm,0.12654365656354058,0.09426337993119764,0.08955021093463776,0.0,0.92,None,Equilibrium,Flat_Baric,1013.7116148780889,26.19647251329164,45.13522841288992,60.23181988551713,0.09426337993119764
t12,Calm,0.11944415329089544,0.09453141058759608,0.08980484005821628,0.0,0.92,None,Equilibrium,Flat_Baric,1011.8753579081622,26.003526355197174,44.97488094527543,61.66032063891635,0.09453141058759608
t13,Calm,0.1227996862631982,0.09967246729784002,0.094688843932948,0.0,0.92,None,Equilibrium,Flat_Baric,1011.4658858292644,25.930027449200743,44.880525976566794,60.69689976274535,0.09967246729784002
t14,Calm,0.10874510952701623,0.09456575228866236,0.08983746467422923,0.05764705882352941,0.92,None,Equilibrium,Flat_Baric,1014.2776768218985,26.02139799107342,44.5462181689792,59.739181174265724,0.09456575228866236
