timestep,state_id,entropy_H,coherence_k,emergence_eta,bifurcation_B,reducibility_score,perturbation,response,attractor_state,liquidity,volatility,leverage,panic_index,order_flow
t1,Stable,0.2475876394214367,0.19399355436586002,0.17847407001659124,0.0,0.85,None,Equilibrium,Stable_Trading,99.47727697948096,7.538383376944548,1.5469141902988,0.0,18.433665443645058
t2,Stable,0.25352055396514295,0.18924633682912767,0.17410662988279746,0.0,0.85,None,Equilibrium,Stable_Trading,100.0,7.324157697191833,1.4741977635891312,0.0,-19.666940616368034
t3,Stable,0.23748460575809555,0.18059630369920174,0.1661485994032656,0.0,0.85,None,Equilibrium,Stable_Trading,99.29565630945724,7.512063373511333,1.5048060388470492,0.0,1.4372411467408743
t4,Stable,0.2644376460407326,0.17353063222294426,0.15964818164510872,0.0,0.85,None,Equilibrium,Stable_Trading,98.59153870363645,8.526820898303919,1.4768862355647479,1.1890165311075518,63.92259313036494
t5,Stable,0.2491784882160743,0.1869822331361359,0.17202365448524504,0.0,0.85,None,Equilibrium,Stable_Trading,98.4433708264761,7.525300555584028,1.4782751886283843,1.4205042479898549,9.554953400995167
t6,Stable,0.2611729583158813,0.18393485385421748,0.1692200655458801,0.0,0.85,None,Equilibrium,Stable_Trading,100.0,9.316191032418695,1.4845413938265681,0.0,2.3218274078074406
t7,Stable,0.25342725346377704,0.1889519322002773,0.17383577762425514,0.0,0.85,None,Equilibrium,Stable_Trading,98.71957064750372,8.246658950440445,1.5111066885816857,0.0,-67.99280704899596
t8,Stable,0.2545675321915378,0.18635171801681968,0.17144358057547412,0.0,0.85,None,Equilibrium,Stable_Trading,100.0,8.092418061847438,1.476062568916826,0.4714155563864041,37.31267830136103
t9,Stable,0.25569767280232203,0.19049552715319334,0.1752558849809379,0.0,0.85,None,Equilibrium,Stable_Trading,97.91807059211628,7.570821109909393,1.562787806278676,0.0,32.274209057053774
t10,Stable,0.2544770856001731,0.17464764788439432,0.16067583605364277,0.0,0.85,None,Equilibrium,Stable_Trading,100.0,8.350154939704495,1.4552696348890248,0.6329318177555108,108.162736165273
t11,Stable,0.2564272275986754,0.19317394065634325,0.1777200254038358,0.0,0.85,None,Equilibrium,Stable_Trading,100.0,7.712181086881113,1.4906564177919321,0.2029230208512997,-15.388911747650042
t12,Stable,0.2632915253013243,0.181975996046924,0.16741791636317008,0.0,0.85,None,Equilibrium,Stable_Trading,99.90328688812961,8.061004907322681,1.4780134470862913,0.0,10.957516383196948
t13,Stable,0.2519652116970147,0.20075260872625264,0.18469240002815243,0.0,0.85,None,Equilibrium,Stable_Trading,99.45508091319105,9.280042269134398,1.5723488942176866,1.5475052013300616,12.469184185537763
t14,Stable,0.2570900375758851,0.17310812181910432,0.15925947207357596,0.0,0.85,None,Equilibrium,Stable_Trading,100.0,7.951970050137675,1.5098277388255787,1.7958776730955217,78.87266398817371
t15,Stable,0.24910264305712773,0.1973596380316525,0.1815708669891203,0.0,0.85,None,Equilibrium,Stable_Trading,99.96236529757515,8.574636663142838,1.5515922269734317,0.0,-4.764776619347605
t16,Stable,0.2644011721544947,0.18197910783462648,0.16742077920785636,0.0,0.85,None,Equilibrium,Stable_Trading,100.0,7.648411787437056,1.4257219813481514,0.0,13.951076288516962
t17,Stable,0.2432360769794073,0.1734858199638555,0.15960695436674707,0.0,0.85,None,Equilibrium,Stable_Trading,100.0,7.982505754751519,1.5133525132934629,0.28586539072490497,30.39482548582696
t18,Stable,0.26800940432910814,0.1751611416594568,0.16114825032670024,0.0,0.85,None,Equilibrium,Stable_Trading,100.0,8.885400317817755,1.5444815397811718,0.334456789987025,9.330456157817906
t19,Stable,0.24959842049355657,0.17679652691805678,0.16265280476461225,0.0,0.85,None,Equilibrium,Stable_Trading,99.63638778778615,7.686516471106116,1.5041141994637712,0.6585442726728304,-22.321680727526413
t20,Stable,0.23569224897881952,0.18424165946401916,0.16950232670689763,0.05823529411764706,0.85,None,Equilibrium,Stable_Trading,99.94305437627894,8.906224278998465,1.5532740187532676,2.0102045387663496,9.70449964491538
t21,Volatility_Rise,0.2512810441491079,0.185228354880355,0.17041008648992662,0.11647058823529412,0.85,Liquidity_Drain,Order_Imbalance,Volatility_Attractor,100.0,8.353875967727738,1.4741355774949814,0.0,53.681587492988605
t22,Volatility_Rise,0.2795052728989354,0.21636826311850893,0.19905880206902823,0.17470588235294118,0.8078947368421052,Liquidity_Drain,Order_Imbalance,Volatility_Attractor,93.55298950208022,11.771398191000234,1.7283621088513843,4.201702755461547,-103.95734391792143
t23,Volatility_Rise,0.33103801443725567,0.2639669803931796,0.24284962196172527,0.23294117647058823,0.7657894736842105,Liquidity_Drain,Order_Imbalance,Volatility_Attractor,89.17813036736797,16.421467027422498,1.930734379865173,8.620680771985473,-98.61467418739304
t24,Volatility_Rise,0.3524211286280287,0.32773849305980285,0.30151941361501866,0.2911764705882353,0.7236842105263157,Liquidity_Drain,Order_Imbalance,Volatility_Attractor,86.53273777823324,20.644171961655466,1.9555422825043327,14.269069960058081,-192.90077758906392
t25,Volatility_Rise,0.39080132356258906,0.36569648433258606,0.3364407655859792,0.34941176470588237,0.6815789473684211,Liquidity_Drain,Order_Imbalance,Volatility_Attractor,81.22349701707532,24.521431296898072,2.109303821298383,19.9668730271262,-150.77398434323155
t26,Volatility_Rise,0.41268354005896574,0.394889552486214,0.36329838828731686,0.4076470588235294,0.6394736842105263,Liquidity_Drain,Order_Imbalance,Volatility_Attractor,76.13180613733154,27.478045534791615,2.362142908066412,26.794557863517788,-339.3172399760308
t27,Volatility_Rise,0.4633716736496145,0.43301161372905045,0.39837068463072645,0.46588235294117647,0.5973684210526315,Liquidity_Drain,Order_Imbalance,Volatility_Attractor,71.59738130148645,31.95222088577177,2.526347028339167,29.482388700963828,-343.7355660477899
t28,Volatility_Rise,0.47997173304949986,0.47593715537244574,0.4378621829426501,0.5241176470588236,0.5552631578947369,Liquidity_Drain,Order_Imbalance,Volatility_Attractor,67.18968696851957,36.244661734855825,2.579120156537073,35.2237879516389,-349.56045887835285
t29,Volatility_Rise,0.5246872875546165,0.522977284990462,0.4811391021912251,0.5823529411764706,0.513157894736842,Liquidity_Drain,Order_Imbalance,Volatility_Attractor,61.56550347758538,40.383835917028925,2.7421485538820494,39.983577103927246,-342.77643011723035
t30,Volatility_Rise,0.5844462518246007,0.5487194427690686,0.5048218873475431,0.6405882352941177,0.47105263157894733,Liquidity_Drain,Order_Imbalance,Volatility_Attractor,56.59011632722927,44.784020259301656,2.906963401135922,46.188393273448085,-476.97172357996516
t31,Volatility_Rise,0.6210158963233504,0.5984788662047138,0.5506005569083368,0.6988235294117647,0.42894736842105263,Liquidity_Drain,Order_Imbalance,Volatility_Attractor,52.827424202466105,48.61516628994031,3.011724842869339,52.526932425873625,-554.075765808344
t32,Volatility_Rise,0.653728259828376,0.6264720539980663,0.576354289678221,0.7570588235294118,0.3868421052631579,Liquidity_Drain,Order_Imbalance,Volatility_Attractor,46.91636406449024,51.911275189066,3.190909507938948,54.46913122707968,-484.8895149490231
t33,Volatility_Rise,0.6761197122529183,0.6892553891207895,0.6341149579911264,0.8152941176470588,0.3447368421052631,Liquidity_Drain,Order_Imbalance,Volatility_Attractor,43.56614749255658,56.8216778728714,3.3445298037676596,59.510560557481774,-703.9796423892333
