timestep,state_id,entropy_H,coherence_k,emergence_eta,bifurcation_B,reducibility_score,perturbation,response,attractor_state,hyperedge_coupling,multiway_entropy,non_linear_dependency,emergent_cooperative_index
t1,Bipartite_Linear,0.12,0.88,0.046000000000000006,0.095,0.9,Hyperedge_Ingress,Cooperative_Shift,Isolated_Nodes,0.1,0.2,0.5,0.05
t2,Bipartite_Linear,0.13551020408163264,0.8665306122448979,0.06119999586707683,0.11206122448979591,0.8820408163265306,Hyperedge_Ingress,Cooperative_Shift,Isolated_Nodes,0.11795918367346939,0.21510204081632656,0.563938580842253,0.06652173463812698
t3,Bipartite_Linear,0.1510204081632653,0.8530612244897959,0.07838155476051363,0.12912244897959185,0.8640816326530611,Hyperedge_Ingress,Cooperative_Shift,Isolated_Nodes,0.1359183673469388,0.23020408163265307,0.6268272919547537,0.08519734213099307
t4,Bipartite_Linear,0.16653061224489796,0.8395918367346938,0.09734645060660452,0.14618367346938776,0.8461224489795918,Hyperedge_Ingress,Cooperative_Shift,Isolated_Nodes,0.15387755102040818,0.2453061224489796,0.687633502439687,0.10581135935500491
t5,Bipartite_Linear,0.1820408163265306,0.8261224489795919,0.11783361678411534,0.16324489795918368,0.8281632653061224,Hyperedge_Ingress,Cooperative_Shift,Isolated_Nodes,0.17183673469387756,0.26040816326530614,0.7453587760019689,0.12808001824360363
t6,Bipartite_Linear,0.19755102040816325,0.8126530612244898,0.13952483366206983,0.1803061224489796,0.810204081632653,Hyperedge_Ingress,Cooperative_Shift,Isolated_Nodes,0.18979591836734694,0.2755102040816327,0.799055265245608,0.15165742789355416
t7,Bipartite_Linear,0.21306122448979592,0.7991836734693878,0.16205188261155115,0.1973673469387755,0.7922448979591836,Hyperedge_Ingress,Cooperative_Shift,Isolated_Nodes,0.20775510204081632,0.2906122448979592,0.8478412753017432,0.1761433506647295
t8,Bipartite_Linear,0.22857142857142856,0.7857142857142857,0.1850050173511092,0.21442857142857144,0.7742857142857142,Hyperedge_Ingress,Cooperative_Shift,Isolated_Nodes,0.22571428571428573,0.3057142857142857,0.890915741234015,0.2010924101642491
t9,Bipartite_Linear,0.2440816326530612,0.7722448979591837,0.20794257370470537,0.23148979591836735,0.7563265306122449,Hyperedge_Ingress,Cooperative_Shift,Isolated_Nodes,0.2436734693877551,0.32081632653061226,0.927571381502673,0.2260245366355493
t10,Bipartite_Linear,0.2595918367346939,0.7587755102040816,0.23040151266222145,0.2485510204081633,0.7383673469387755,Hyperedge_Ingress,Cooperative_Shift,Isolated_Nodes,0.2616326530612245,0.3359183673469388,0.9572063115079061,0.2504364268067624
t11,Bipartite_Linear,0.2751020408163265,0.7453061224489796,0.25190866958851094,0.2656122448979592,0.7204081632653061,Hyperedge_Ingress,Cooperative_Shift,Isolated_Nodes,0.2795918367346939,0.3510204081632653,0.9793339265183303,0.2738137712918597
t12,Bipartite_Linear,0.29061224489795917,0.7318367346938776,0.27199246500008234,0.2826734693877551,0.7024489795918367,Hyperedge_Ingress,Cooperative_Shift,Isolated_Nodes,0.2975510204081633,0.36612244897959184,0.993590891707225,0.2956439836957417
t13,Bipartite_Linear,0.30612244897959184,0.7183673469387755,0.29019481990066964,0.29973469387755103,0.6844897959183673,Hyperedge_Ingress,Cooperative_Shift,Isolated_Nodes,0.31551020408163266,0.3812244897959184,0.999743108100344,0.31542915206594524
t14,Bipartite_Linear,0.32163265306122446,0.7048979591836735,0.3060830115218644,0.31679591836734694,0.666530612244898,Hyperedge_Ingress,Cooperative_Shift,Isolated_Nodes,0.33346938775510204,0.39632653061224493,0.9976895564745991,0.3326989255672439
t15,Bipartite_Linear,0.33714285714285713,0.6914285714285714,0.31926120363213595,0.33385714285714285,0.6485714285714286,Hyperedge_Ingress,Cooperative_Shift,Isolated_Nodes,0.3514285714285714,0.4114285714285715,0.9874639560909118,0.3470230474262347
t16,Multiway_Coupling,0.3526530612244898,0.6779591836734694,0.3293813894282919,0.35091836734693876,0.6306122448979592,Hyperedge_Ingress,Cooperative_Shift,Dynamic_Hyperedge,0.3693877551020408,0.42653061224489797,0.9692342110248802,0.35802324937857816
t17,Multiway_Coupling,0.3681632653061224,0.6644897959183673,0.33615349436900793,0.3679795918367347,0.6126530612244898,Hyperedge_Ingress,Cooperative_Shift,Dynamic_Hyperedge,0.3873469387755102,0.4416326530612245,0.9432996531865001,0.3653842330097912
t18,Multiway_Coupling,0.3836734693877551,0.6510204081632653,0.3393544010019582,0.3850408163265306,0.5946938775510204,Hyperedge_Ingress,Cooperative_Shift,Dynamic_Hyperedge,0.40530612244897957,0.45673469387755106,0.9100861272984779,0.3688634793499545
t19,Multiway_Coupling,0.39918367346938777,0.6375510204081632,0.33883567761831307,0.4021020408163265,0.576734693877551,Hyperedge_Ingress,Cooperative_Shift,Dynamic_Hyperedge,0.42326530612244895,0.4718367346938776,0.8701389985376579,0.3682996495851229
t20,Multiway_Coupling,0.4146938775510204,0.6240816326530612,0.3345298170819392,0.4191632653061224,0.5587755102040817,Hyperedge_Ingress,Cooperative_Shift,Dynamic_Hyperedge,0.44122448979591833,0.4869387755102041,0.8241141976538944,0.36361936639341214
t21,Multiway_Coupling,0.43020408163265306,0.6106122448979592,0.3264548209699833,0.4362244897959183,0.5408163265306123,Hyperedge_Ingress,Cooperative_Shift,Dynamic_Hyperedge,0.4591836734693877,0.5020408163265306,0.7727674506052745,0.3548421967065036
t22,Multiway_Coupling,0.44571428571428573,0.5971428571428572,0.31471699668288816,0.45328571428571435,0.5228571428571428,Hyperedge_Ingress,Cooperative_Shift,Dynamic_Hyperedge,0.4771428571428572,0.5171428571428571,0.7169418695587791,0.34208369204661754
t23,Multiway_Coupling,0.46122448979591835,0.5836734693877551,0.299511870813396,0.47034693877551026,0.5048979591836734,Hyperedge_Ingress,Cooperative_Shift,Dynamic_Hyperedge,0.4951020408163266,0.5322448979591836,0.6575541090118104,0.3255563813189086
t24,Multiway_Coupling,0.476734693877551,0.570204081632653,0.28112316011743166,0.4874081632653061,0.48693877551020404,Hyperedge_Ingress,Cooperative_Shift,Dynamic_Hyperedge,0.513061224489796,0.5473469387755102,0.5955793143506862,0.30556865230155617
t25,Multiway_Coupling,0.4922448979591837,0.556734693877551,0.2599197811631256,0.5044693877551021,0.46897959183673465,Hyperedge_Ingress,Cooperative_Shift,Dynamic_Hyperedge,0.5310204081632653,0.5624489795918368,0.5320351099903566,0.28252150126426695
t26,Multiway_Coupling,0.5077551020408163,0.543265306122449,0.23635092036650335,0.5215306122448979,0.4510204081632653,Hyperedge_Ingress,Cooperative_Shift,Dynamic_Hyperedge,0.5489795918367347,0.5775510204081633,0.4679648900096437,0.2569031743114167
t27,Multiway_Coupling,0.523265306122449,0.529795918367347,0.21093922684797775,0.5385918367346939,0.4330612244897959,Hyperedge_Ingress,Cooperative_Shift,Dynamic_Hyperedge,0.5669387755102041,0.5926530612244898,0.40442068564931405,0.22928176831301927
t28,Multiway_Coupling,0.5387755102040817,0.5163265306122449,0.18427223054824085,0.5556530612244898,0.4151020408163265,Hyperedge_Ingress,Cooperative_Shift,Dynamic_Hyperedge,0.5848979591836735,0.6077551020408163,0.3424458909881899,0.200295902769827
t29,Multiway_Coupling,0.5542857142857143,0.5028571428571429,0.15699212651785663,0.5727142857142857,0.39714285714285713,Hyperedge_Ingress,Cooperative_Shift,Dynamic_Hyperedge,0.6028571428571429,0.6228571428571429,0.28305813044122097,0.17064361578027892
t30,Multiway_Coupling,0.5697959183673469,0.4893877551020408,0.129784102456746,0.5897755102040816,0.37918367346938775,Hyperedge_Ingress,Cooperative_Shift,Dynamic_Hyperedge,0.6208163265306123,0.6379591836734695,0.22723254939472576,0.14106967658341954
t31,Multiway_Coupling,0.5853061224489796,0.47591836734693876,0.10336341968078502,0.6068367346938776,0.36122448979591837,Hyperedge_Ingress,Cooperative_Shift,Dynamic_Hyperedge,0.6387755102040816,0.653061224489796,0.1758858023461059,0.11235154313128806
t32,Multiway_Coupling,0.6008163265306122,0.46244897959183673,0.07846148703864333,0.6238979591836734,0.343265306122449,Hyperedge_Ingress,Cooperative_Shift,Dynamic_Hyperedge,0.656734693877551,0.6681632653061225,0.12986100146234236,0.08528422504200361
t33,Multiway_Coupling,0.616326530612245,0.4489795918367347,0.05581119226512933,0.6409591836734694,0.3253061224489796,Hyperedge_Ingress,Cooperative_Shift,Dynamic_Hyperedge,0.6746938775510204,0.683265306122449,0.08991387270152218,0.06066433941861884
t34,Multiway_Coupling,0.6318367346938776,0.43551020408163266,0.036131775289432136,0.6580204081632652,0.3073469387755102,Hyperedge_Ingress,Cooperative_Shift,Dynamic_Hyperedge,0.6926530612244898,0.6983673469387756,0.0567003468135,0.03927366879286102
t35,Multiway_Coupling,0.6473469387755102,0.4220408163265306,0.02011354266009348,0.6750816326530612,0.28938775510204084,Hyperedge_Ingress,Cooperative_Shift,Dynamic_Hyperedge,0.7106122448979592,0.7134693877551022,0.03076578897511989,0.02186254636966683
t36,Emergent_Cooperative,0.6628571428571428,0.4085714285714286,0.008402731145920255,0.6921428571428571,0.27142857142857146,Hyperedge_Ingress,Cooperative_Shift,Nonlinear_Attractor,0.7285714285714285,0.7285714285714286,0.01253604390908819,0.009133403419478539
t37,Emergent_Cooperative,0.6783673469387755,0.39510204081632655,0.0015868314740088384,0.709204081632653,0.2534693877551021,Hyperedge_Ingress,Cooperative_Shift,Nonlinear_Attractor,0.7465306122448979,0.7436734693877551,0.0023104435254009403,0.0017248168195748243
t38,Emergent_Cooperative,0.6938775510204082,0.3816326530612245,0.0001806799370658468,0.7262653061224489,0.2355102040816327,Hyperedge_Ingress,Cooperative_Shift,Nonlinear_Attractor,0.7644897959183673,0.7587755102040816,0.0002568918996560532,0.0001963912359411378
t39,Emergent_Cooperative,0.7093877551020408,0.3681632653061224,0.004613616224273244,0.7433265306122449,0.21755102040816332,Hyperedge_Ingress,Cooperative_Shift,Nonlinear_Attractor,0.7824489795918367,0.7738775510204081,0.006409108292774857,0.005014800243775265
t40,Emergent_Cooperative,0.7248979591836735,0.35469387755102044,0.015217990403979493,0.7603877551020407,0.19959183673469394,Hyperedge_Ingress,Cooperative_Shift,Nonlinear_Attractor,0.8004081632653061,0.7889795918367348,0.0206660734816696,0.016541293917369013
