timestep,state_id,entropy_H,coherence_k,emergence_eta,bifurcation_B,reducibility_score,perturbation,response,attractor_state,latent_prediction_energy,reconstruction_variance,future_state_entropy,predicted_coherence
t1,Uncalibrated,0.95,0.05,0.049,0.95,0.12,Gradient_Step,Latent_Alignment,High_Variance_State,4.5,9.8,0.95,0.05
t2,Uncalibrated,0.95,0.05,0.049,0.95,0.13673469387755102,Gradient_Step,Latent_Alignment,High_Variance_State,4.5,9.8,0.95,0.05
t3,Uncalibrated,0.95,0.05,0.049,0.95,0.15346938775510205,Gradient_Step,Latent_Alignment,High_Variance_State,4.5,9.8,0.95,0.05
t4,Uncalibrated,0.95,0.05,0.049,0.95,0.17020408163265305,Gradient_Step,Latent_Alignment,High_Variance_State,4.5,9.8,0.95,0.05
t5,Uncalibrated,0.95,0.05,0.049,0.95,0.18693877551020407,Gradient_Step,Latent_Alignment,High_Variance_State,4.5,9.8,0.95,0.05
t6,Uncalibrated,0.95,0.05,0.049,0.95,0.2036734693877551,Gradient_Step,Latent_Alignment,High_Variance_State,4.5,9.8,0.95,0.05
t7,Uncalibrated,0.95,0.05,0.049,0.95,0.2204081632653061,Gradient_Step,Latent_Alignment,High_Variance_State,4.5,9.8,0.95,0.05
t8,Uncalibrated,0.95,0.05,0.049,0.95,0.23714285714285713,Gradient_Step,Latent_Alignment,High_Variance_State,4.5,9.8,0.95,0.05
t9,Uncalibrated,0.95,0.05,0.049,0.95,0.25387755102040815,Gradient_Step,Latent_Alignment,High_Variance_State,4.5,9.8,0.95,0.05
t10,Uncalibrated,0.95,0.05,0.049,0.95,0.2706122448979592,Gradient_Step,Latent_Alignment,High_Variance_State,4.5,9.8,0.95,0.05
t11,Uncalibrated,0.95,0.05,0.049,0.95,0.2873469387755102,Gradient_Step,Latent_Alignment,High_Variance_State,4.5,9.8,0.95,0.05
t12,Uncalibrated,0.95,0.05,0.049,0.95,0.3040816326530612,Gradient_Step,Latent_Alignment,High_Variance_State,4.5,9.8,0.95,0.05
t13,Uncalibrated,0.95,0.05,0.049,0.95,0.3208163265306122,Gradient_Step,Latent_Alignment,High_Variance_State,4.5,9.8,0.95,0.05
t14,Uncalibrated,0.95,0.05,0.049,0.95,0.33755102040816326,Gradient_Step,Latent_Alignment,High_Variance_State,4.5,9.8,0.95,0.05
