timestep,state_id,entropy_H,coherence_k,emergence_eta,bifurcation_B,reducibility_score,perturbation,response,attractor_state,neuron_firing_rate,calcium_flux,synchronization,inhibitory_balance,oscillation_frequency
t1,Noise,0.8733190954635696,0.07008607650543693,0.12668090453643044,0.0,0.12,None,Quiescence,Stochastic_Noise,11.37443729849047,1.2998010109859652,0.07008607650543693,1.0062612251323955,4.066176046442892
t2,Noise,0.8899204234953653,0.058466098863962854,0.11007957650463474,0.0,0.12,None,Quiescence,Stochastic_Noise,12.395803533437409,0.910374462180631,0.058466098863962854,0.9785297229437373,4.166705792321785
t3,Noise,0.878250402433046,0.07361038252310498,0.12174959756695403,0.0,0.12,None,Quiescence,Stochastic_Noise,12.494030186282739,1.4088374704780726,0.07361038252310498,1.0061148751516142,3.601252871485709
t4,Noise,0.8724425484050715,0.06676910206592501,0.12755745159492848,0.0,0.12,None,Quiescence,Stochastic_Noise,12.260673765823906,1.1860410371844825,0.06676910206592501,1.0271649014518194,4.074811313969515
t5,Noise,0.885365098435704,0.09642015160136369,0.11463490156429601,0.0,0.12,None,Quiescence,Stochastic_Noise,11.44969484615458,1.3108182816737517,0.09642015160136369,1.0024430035162852,4.245533798494659
t6,Noise,0.8710153201820896,0.09009817089342634,0.1289846798179104,0.0,0.12,None,Quiescence,Stochastic_Noise,11.328376632061948,1.096009407287447,0.09009817089342634,1.002029584560194,3.758071796261759
t7,Noise,0.8802818115736913,0.07311849654822276,0.11971818842630866,0.0,0.12,None,Quiescence,Stochastic_Noise,11.974445929008555,1.2612773905062569,0.07311849654822276,0.9649004156096622,4.334514477367541
t8,Noise,0.8799088100335579,0.1025243580534431,0.12009118996644208,0.0,0.12,None,Quiescence,Stochastic_Noise,13.172729019259364,1.0946584436826343,0.1025243580534431,0.9668549541224526,4.083803801873209
t9,Noise,0.8908589556583157,0.08981765486991594,0.10914104434168426,0.0,0.12,None,Quiescence,Stochastic_Noise,12.543600154594433,1.1376231039304194,0.08981765486991594,0.9298697364100154,3.8589976288483183
t10,Noise,0.8847469823287996,0.07675168616491378,0.11525301767120044,0.0,0.12,None,Quiescence,Stochastic_Noise,11.629385667913894,1.3914031353866787,0.07675168616491378,1.087478837159347,3.988846184468459
t11,Noise,0.8797497304125486,0.05500594285126427,0.12025026958745144,0.0,0.12,None,Quiescence,Stochastic_Noise,12.771698710648344,1.1809317599236653,0.05500594285126427,0.9378068382304358,4.111665382504344
t12,Noise,0.8881776629920028,0.10290942572590742,0.11182233700799715,0.06785714285714285,0.12,None,Quiescence,Stochastic_Noise,9.151457379369925,1.2217432873179723,0.10290942572590742,0.9653547401102046,4.015201078282482
t13,Partial_Sync,0.8939020754901731,0.06610427533236404,0.10609792450982691,0.1357142857142857,0.12,Calcium_Spike,Oscillatory_Rhythm,Oscillatory_Attractor,13.148765700372103,1.2870067730688755,0.06610427533236404,0.9640796367215402,4.107751198489273
t14,Partial_Sync,0.853911436396852,0.10021267919709775,0.14608856360314804,0.20357142857142857,0.15041666666666667,Calcium_Spike,Oscillatory_Rhythm,Oscillatory_Attractor,13.718619554555234,1.5537348554639272,0.10021267919709775,0.9973777977945905,5.399198614717459
t15,Partial_Sync,0.8167701928651004,0.16355903765342972,0.18322980713489956,0.2714285714285714,0.18083333333333332,Calcium_Spike,Oscillatory_Rhythm,Oscillatory_Attractor,18.554225725263535,1.8233752238476908,0.16355903765342972,0.8905156739801355,7.200538831473882
t16,Partial_Sync,0.7718816376764984,0.21439752406339274,0.22811836232350158,0.33928571428571425,0.21125,Calcium_Spike,Oscillatory_Rhythm,Oscillatory_Attractor,21.255330105373858,2.1489961002466225,0.21439752406339274,0.920281840475792,8.467257100619005
