timestep,state_id,entropy_H,coherence_k,emergence_eta,bifurcation_B,reducibility_score,perturbation,response,attractor_state,measured_outcome,prediction_divergence,manifold_drift,uncertainty
t1,Unanchored,0.85,0.08,0.08,0.85,0.05,Empirical_Measurement,Bayesian_Prior_Update,Floating_Manifold,1.1,0.85,0.95,0.75
t2,Unanchored,0.85,0.08,0.08,0.85,0.06918367346938775,Empirical_Measurement,Bayesian_Prior_Update,Floating_Manifold,1.1,0.85,0.95,0.75
t3,Unanchored,0.85,0.08,0.08,0.85,0.08836734693877552,Empirical_Measurement,Bayesian_Prior_Update,Floating_Manifold,1.1,0.85,0.95,0.75
t4,Unanchored,0.85,0.08,0.08,0.85,0.10755102040816326,Empirical_Measurement,Bayesian_Prior_Update,Floating_Manifold,1.1,0.85,0.95,0.75
t5,Unanchored,0.85,0.08,0.08,0.85,0.126734693877551,Empirical_Measurement,Bayesian_Prior_Update,Floating_Manifold,1.1,0.85,0.95,0.75
t6,Unanchored,0.85,0.08,0.08,0.85,0.14591836734693875,Empirical_Measurement,Bayesian_Prior_Update,Floating_Manifold,1.1,0.85,0.95,0.75
t7,Unanchored,0.85,0.08,0.08,0.85,0.1651020408163265,Empirical_Measurement,Bayesian_Prior_Update,Floating_Manifold,1.1,0.85,0.95,0.75
t8,Unanchored,0.85,0.08,0.08,0.85,0.18428571428571427,Empirical_Measurement,Bayesian_Prior_Update,Floating_Manifold,1.1,0.85,0.95,0.75
t9,Unanchored,0.85,0.08,0.08,0.85,0.20346938775510204,Empirical_Measurement,Bayesian_Prior_Update,Floating_Manifold,1.1,0.85,0.95,0.75
t10,Unanchored,0.85,0.08,0.08,0.85,0.2226530612244898,Empirical_Measurement,Bayesian_Prior_Update,Floating_Manifold,1.1,0.85,0.95,0.75
t11,Unanchored,0.85,0.08,0.08,0.85,0.2418367346938775,Empirical_Measurement,Bayesian_Prior_Update,Floating_Manifold,1.1,0.85,0.95,0.75
t12,Unanchored,0.85,0.08,0.08,0.85,0.26102040816326527,Empirical_Measurement,Bayesian_Prior_Update,Floating_Manifold,1.1,0.85,0.95,0.75
t13,Unanchored,0.85,0.08,0.08,0.85,0.28020408163265303,Empirical_Measurement,Bayesian_Prior_Update,Floating_Manifold,1.1,0.85,0.95,0.75
t14,Unanchored,0.85,0.08,0.08,0.85,0.2993877551020408,Empirical_Measurement,Bayesian_Prior_Update,Floating_Manifold,1.1,0.85,0.95,0.75
t15,Unanchored,0.85,0.08,0.08,0.85,0.3185714285714285,Empirical_Measurement,Bayesian_Prior_Update,Floating_Manifold,1.1,0.85,0.95,0.75
t16,Bayesian_Anchoring,0.85,0.08,0.08,0.85,0.33775510204081627,Empirical_Measurement,Bayesian_Prior_Update,Anchored_Trajectory,1.1,0.85,0.95,0.75
t17,Bayesian_Anchoring,0.8115789473684211,0.12578947368421053,0.12578947368421053,0.8063157894736842,0.35693877551020403,Empirical_Measurement,Bayesian_Prior_Update,Anchored_Trajectory,1.5578947368421054,0.8063157894736842,0.9021052631578947,0.7131578947368421
t18,Bayesian_Anchoring,0.773157894736842,0.17157894736842105,0.17157894736842105,0.7626315789473684,0.3761224489795918,Empirical_Measurement,Bayesian_Prior_Update,Anchored_Trajectory,2.015789473684211,0.7626315789473684,0.8542105263157894,0.6763157894736842
t19,Bayesian_Anchoring,0.7347368421052631,0.2173684210526316,0.2173684210526316,0.7189473684210526,0.39530612244897956,Empirical_Measurement,Bayesian_Prior_Update,Anchored_Trajectory,2.473684210526316,0.7189473684210526,0.8063157894736842,0.6394736842105263
t20,Bayesian_Anchoring,0.6963157894736842,0.2631578947368421,0.2631578947368421,0.6752631578947368,0.41448979591836727,Empirical_Measurement,Bayesian_Prior_Update,Anchored_Trajectory,2.931578947368421,0.6752631578947368,0.7584210526315789,0.6026315789473684
t21,Bayesian_Anchoring,0.6578947368421053,0.30894736842105264,0.30894736842105264,0.631578947368421,0.43367346938775503,Empirical_Measurement,Bayesian_Prior_Update,Anchored_Trajectory,3.3894736842105266,0.631578947368421,0.7105263157894737,0.5657894736842105
t22,Bayesian_Anchoring,0.6194736842105263,0.3547368421052632,0.3547368421052632,0.5878947368421052,0.4528571428571428,Empirical_Measurement,Bayesian_Prior_Update,Anchored_Trajectory,3.8473684210526318,0.5878947368421052,0.6626315789473685,0.5289473684210526
t23,Bayesian_Anchoring,0.5810526315789474,0.4005263157894737,0.4005263157894737,0.5442105263157895,0.47204081632653055,Empirical_Measurement,Bayesian_Prior_Update,Anchored_Trajectory,4.305263157894737,0.5442105263157895,0.6147368421052631,0.49210526315789477
t24,Bayesian_Anchoring,0.5426315789473684,0.4463157894736842,0.4463157894736842,0.5005263157894737,0.4912244897959183,Empirical_Measurement,Bayesian_Prior_Update,Anchored_Trajectory,4.7631578947368425,0.5005263157894737,0.5668421052631578,0.45526315789473687
t25,Bayesian_Anchoring,0.5042105263157894,0.49210526315789477,0.49210526315789477,0.4568421052631579,0.5104081632653061,Empirical_Measurement,Bayesian_Prior_Update,Anchored_Trajectory,5.221052631578948,0.4568421052631579,0.5189473684210526,0.41842105263157897
t26,Bayesian_Anchoring,0.46578947368421053,0.5378947368421052,0.5378947368421052,0.41315789473684206,0.5295918367346938,Empirical_Measurement,Bayesian_Prior_Update,Anchored_Trajectory,5.678947368421053,0.41315789473684206,0.47105263157894733,0.3815789473684211
t27,Bayesian_Anchoring,0.42736842105263156,0.5836842105263157,0.5836842105263157,0.3694736842105263,0.5487755102040816,Empirical_Measurement,Bayesian_Prior_Update,Anchored_Trajectory,6.136842105263158,0.3694736842105263,0.42315789473684207,0.3447368421052632
t28,Bayesian_Anchoring,0.3889473684210526,0.6294736842105263,0.6294736842105263,0.3257894736842105,0.5679591836734693,Empirical_Measurement,Bayesian_Prior_Update,Anchored_Trajectory,6.594736842105263,0.3257894736842105,0.37526315789473685,0.30789473684210533
t29,Bayesian_Anchoring,0.3505263157894737,0.6752631578947368,0.6752631578947368,0.28210526315789475,0.5871428571428571,Empirical_Measurement,Bayesian_Prior_Update,Anchored_Trajectory,7.052631578947368,0.28210526315789475,0.32736842105263153,0.27105263157894743
t30,Bayesian_Anchoring,0.3121052631578948,0.7210526315789473,0.7210526315789473,0.23842105263157887,0.6063265306122448,Empirical_Measurement,Bayesian_Prior_Update,Anchored_Trajectory,7.510526315789475,0.23842105263157887,0.2794736842105263,0.23421052631578954
t31,Bayesian_Anchoring,0.27368421052631575,0.7668421052631579,0.7668421052631579,0.1947368421052631,0.6255102040816326,Empirical_Measurement,Bayesian_Prior_Update,Anchored_Trajectory,7.96842105263158,0.1947368421052631,0.231578947368421,0.19736842105263164
t32,Bayesian_Anchoring,0.23526315789473684,0.8126315789473684,0.8126315789473684,0.15105263157894733,0.6446938775510204,Empirical_Measurement,Bayesian_Prior_Update,Anchored_Trajectory,8.426315789473685,0.15105263157894733,0.18368421052631578,0.16052631578947374
t33,Bayesian_Anchoring,0.19684210526315793,0.8584210526315789,0.8584210526315789,0.10736842105263156,0.6638775510204081,Empirical_Measurement,Bayesian_Prior_Update,Anchored_Trajectory,8.88421052631579,0.10736842105263156,0.13578947368421057,0.12368421052631584
t34,Bayesian_Anchoring,0.1584210526315789,0.9042105263157895,0.9042105263157895,0.06368421052631579,0.6830612244897959,Empirical_Measurement,Bayesian_Prior_Update,Anchored_Trajectory,9.342105263157896,0.06368421052631579,0.08789473684210525,0.08684210526315794
t35,Bayesian_Anchoring,0.12,0.95,0.95,0.02,0.7022448979591837,Empirical_Measurement,Bayesian_Prior_Update,Anchored_Trajectory,9.8,0.02,0.04,0.05
t36,Empirically_Grounded,0.08,0.96,0.96,0.01,0.7214285714285714,Empirical_Measurement,Bayesian_Prior_Update,Empirical_Reality_Basin,9.9,0.01,0.03,0.02
t37,Empirically_Grounded,0.08,0.96,0.96,0.01,0.7406122448979592,Empirical_Measurement,Bayesian_Prior_Update,Empirical_Reality_Basin,9.9,0.01,0.03,0.02
t38,Empirically_Grounded,0.08,0.96,0.96,0.01,0.759795918367347,Empirical_Measurement,Bayesian_Prior_Update,Empirical_Reality_Basin,9.9,0.01,0.03,0.02
t39,Empirically_Grounded,0.08,0.96,0.96,0.01,0.7789795918367346,Empirical_Measurement,Bayesian_Prior_Update,Empirical_Reality_Basin,9.9,0.01,0.03,0.02
t40,Empirically_Grounded,0.08,0.96,0.96,0.01,0.7981632653061224,Empirical_Measurement,Bayesian_Prior_Update,Empirical_Reality_Basin,9.9,0.01,0.03,0.02
t41,Empirically_Grounded,0.08,0.96,0.96,0.01,0.8173469387755101,Empirical_Measurement,Bayesian_Prior_Update,Empirical_Reality_Basin,9.9,0.01,0.03,0.02
t42,Empirically_Grounded,0.08,0.96,0.96,0.01,0.8365306122448979,Empirical_Measurement,Bayesian_Prior_Update,Empirical_Reality_Basin,9.9,0.01,0.03,0.02
t43,Empirically_Grounded,0.08,0.96,0.96,0.01,0.8557142857142856,Empirical_Measurement,Bayesian_Prior_Update,Empirical_Reality_Basin,9.9,0.01,0.03,0.02
t44,Empirically_Grounded,0.08,0.96,0.96,0.01,0.8748979591836734,Empirical_Measurement,Bayesian_Prior_Update,Empirical_Reality_Basin,9.9,0.01,0.03,0.02
t45,Empirically_Grounded,0.08,0.96,0.96,0.01,0.8940816326530612,Empirical_Measurement,Bayesian_Prior_Update,Empirical_Reality_Basin,9.9,0.01,0.03,0.02
t46,Empirically_Grounded,0.08,0.96,0.96,0.01,0.9132653061224489,Empirical_Measurement,Bayesian_Prior_Update,Empirical_Reality_Basin,9.9,0.01,0.03,0.02
t47,Empirically_Grounded,0.08,0.96,0.96,0.01,0.9324489795918367,Empirical_Measurement,Bayesian_Prior_Update,Empirical_Reality_Basin,9.9,0.01,0.03,0.02
t48,Empirically_Grounded,0.08,0.96,0.96,0.01,0.9516326530612245,Empirical_Measurement,Bayesian_Prior_Update,Empirical_Reality_Basin,9.9,0.01,0.03,0.02
t49,Empirically_Grounded,0.08,0.96,0.96,0.01,0.9708163265306122,Empirical_Measurement,Bayesian_Prior_Update,Empirical_Reality_Basin,9.9,0.01,0.03,0.02
t50,Empirically_Grounded,0.08,0.96,0.96,0.01,0.99,Empirical_Measurement,Bayesian_Prior_Update,Empirical_Reality_Basin,9.9,0.01,0.03,0.02
