timestep,state_id,entropy_H,coherence_k,emergence_eta,bifurcation_B,reducibility_score,perturbation,response,attractor_state,phase_space_expansion,lyapunov_exponent,dimension_growth,router_decision
t1,Reducible_Kepler,0.02,0.99,0.98,0.0,0.98,None,Zero_Response,Analytical_Shortcut,0.0,-0.05,1.0,Analytical_Solver
t2,Reducible_Kepler,0.02,0.99,0.98,0.0,0.98,None,Zero_Response,Analytical_Shortcut,0.0,-0.05,1.0,Analytical_Solver
t3,Reducible_Kepler,0.02,0.99,0.98,0.0,0.98,None,Zero_Response,Analytical_Shortcut,0.0,-0.05,1.0,Analytical_Solver
t4,Reducible_Kepler,0.02,0.99,0.98,0.0,0.98,None,Zero_Response,Analytical_Shortcut,0.0,-0.05,1.0,Analytical_Solver
t5,Reducible_Kepler,0.02,0.99,0.98,0.0,0.98,None,Zero_Response,Analytical_Shortcut,0.0,-0.05,1.0,Analytical_Solver
t6,Reducible_Kepler,0.02,0.99,0.98,0.0,0.98,None,Zero_Response,Analytical_Shortcut,0.0,-0.05,1.0,Analytical_Solver
t7,Reducible_Kepler,0.02,0.99,0.98,0.0,0.98,None,Zero_Response,Analytical_Shortcut,0.0,-0.05,1.0,Analytical_Solver
t8,Reducible_Kepler,0.02,0.99,0.98,0.0,0.98,None,Zero_Response,Analytical_Shortcut,0.0,-0.05,1.0,Analytical_Solver
t9,Reducible_Kepler,0.02,0.99,0.98,0.0,0.98,None,Zero_Response,Analytical_Shortcut,0.0,-0.05,1.0,Analytical_Solver
t10,Reducible_Kepler,0.02,0.99,0.98,0.0,0.98,None,Zero_Response,Analytical_Shortcut,0.0,-0.05,1.0,Analytical_Solver
t11,Reducible_Kepler,0.02,0.99,0.98,0.0,0.98,None,Zero_Response,Analytical_Shortcut,0.0,-0.05,1.0,Analytical_Solver
t12,Reducible_Kepler,0.02,0.99,0.98,0.0,0.98,None,Zero_Response,Analytical_Shortcut,0.0,-0.05,1.0,Analytical_Solver
t13,Reducible_Kepler,0.02,0.99,0.98,0.0,0.98,None,Zero_Response,Analytical_Shortcut,0.0,-0.05,1.0,Analytical_Solver
t14,Reducible_Kepler,0.02,0.99,0.98,0.05210526315789474,0.98,None,Zero_Response,Analytical_Shortcut,0.0,-0.05,1.0,Analytical_Solver
t15,Reducible_Kepler,0.02,0.99,0.98,0.10421052631578948,0.98,None,Zero_Response,Analytical_Shortcut,0.0,-0.05,1.0,Analytical_Solver
