,Paclitaxel,Cisplatin,Doxorubicin,Gemcitabine,5-FU
2025-11-10,106.913444360731,100.93199039727902,100.91641463058572,100.35054077619665,100.76845122356582
2025-11-11,107.92950152558092,105.49196290875231,101.75224683118817,101.92272173311532,101.04913959578798
2025-11-12,108.42544736534008,106.66442819703312,102.53002274795185,102.92062111783227,101.9757041826612
2025-11-13,115.93418041120893,106.9888866520887,103.44118114505693,103.91597898041508,103.28144856652793
2025-11-14,117.03309238925428,111.27373735496231,104.21353860904907,104.82050504990883,104.18974867741522
2025-11-15,117.89481134663096,112.16217585615722,105.31621976751273,105.48278039160688,105.29625524702733
2025-11-16,125.74223437815202,111.96247539370461,105.61415769450674,106.78303408683203,107.09169573932682
2025-11-17,127.35418873438822,117.53201860129239,106.53465946370856,108.0055139943845,108.12448326087507
2025-11-18,128.71335334313366,119.37368721922208,107.52998068653325,110.20284912001699,109.59327389829174
2025-11-19,136.26664968621762,121.52069332903525,107.64557357559355,111.46985027400487,110.48999435101585
2025-11-20,137.4598229325094,128.3061663106651,108.6202635386807,113.58893527030088,111.5450803142653
2025-11-21,139.1722717447976,130.2459594185047,110.13090906822369,114.15969621475944,112.39881362847235
2025-11-22,147.5284484461488,131.3419743518275,111.02054401623391,115.07086960371551,114.45597804913507
2025-11-23,148.8276781213189,137.55749484973816,111.73421747627923,116.63020382282853,116.32419840735525
2025-11-24,149.72322941931841,139.2853070762357,112.84018945022365,118.73647011604658,117.54961493437636
2025-11-25,159.63011279061686,141.2460619519877,114.53874211502988,119.64130357082713,119.0323747041016
2025-11-26,160.80894039464567,148.78728500652076,115.88724103154502,120.28238487714675,120.84578912052744
2025-11-27,162.8228441065979,150.28030538583184,117.58552065600074,122.41741406247549,123.09841706524429
2025-11-28,172.91574359794686,150.81451005783407,118.56585830356543,124.62423239094933,123.79290738446672
2025-11-29,174.16791321771748,156.96072279117504,119.77112463296335,124.7565914390236,124.79938908887446
2025-11-30,177.5855315652313,158.5594896933415,121.33043659001514,126.59797933951876,127.0645671099448
2025-12-01,188.68575718453783,161.13773474799459,122.63878659442233,127.97704893600759,128.38976648563758
2025-12-02,189.46281728316507,168.44966108471215,123.10238843219214,128.81103819482465,129.76250068900384
2025-12-03,193.26255215491125,170.45112802871304,124.014446217087,129.89686587961927,131.0235734649997
2025-12-04,206.39948617353795,172.60514561017777,124.23551601915126,130.72900937204705,132.6919691229278
2025-12-05,207.97026272607044,181.8242170305752,125.68216765259686,131.96144805511216,134.15079099566697
2025-12-06,210.1551339770251,182.769755435982,127.44102119484467,133.92419370361935,135.01961435385573
2025-12-07,224.10186510026114,183.02457139558445,129.1930919569868,136.13180095575152,135.96035232937763
2025-12-08,226.94157582152124,191.50122338571342,130.13338319731972,138.73612788016217,137.68300089668776
2025-12-09,230.32801748887493,193.53058450328766,130.88249684717258,139.95326723136384,138.97704629828115
2025-12-10,244.71550907468375,194.75832838944592,132.33429954715203,141.79183946583456,140.85270735844085
2025-12-11,246.67173837594888,204.53499023198347,133.5541739839172,143.3769544051556,142.67669951602596
2025-12-12,249.3156811474604,206.33299793727738,135.93996061154854,144.91994535882213,144.185963120958
2025-12-13,263.3288132467855,208.05285112182207,136.5581171572239,147.1326552133996,146.11874737358704
2025-12-14,265.6411826670203,218.8920032088885,137.83564514224938,149.32352208453764,147.80072893908599
2025-12-15,268.37697318142233,219.9967962352643,138.54455587550635,150.91557432959962,149.44830658142627
2025-12-16,285.5474500934224,222.84405301144523,139.45619728300727,152.07671389791295,149.91393795244275
2025-12-17,290.9149894865352,233.10828800262988,141.34493321686637,153.67521898879238,151.16547832552928
2025-12-18,292.40033791804007,235.69021392090042,142.88525583523045,154.8298398706532,152.21057501259457
2025-12-19,312.9507810705191,237.3594926475044,143.9772719844242,156.4838421910292,153.87655834367123
2025-12-20,316.78803441077974,248.70486355787875,146.83912284906185,157.7490506909492,156.2950889464394
2025-12-21,316.1906014484003,251.12269960479915,148.179147869627,160.52161864261433,158.37181622584237
